SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0021606,24E,Paraburdoo 24 East,Mine,Openpit,Operating,J03930,Paraburdoo / Rio Tinto,117.652602999999999,-23.256321000000000,566753,7427955,50,Fe,Iron,IRON ORE,,N,,,,,Public,2451,PARABURDOO,SF50-15,TUREE CREEK,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
S0021614,Ludlow Rd Lot 4-5/Catalano,Ludlow Rd Lot 4-5 Myalup / Catalano,Mine,Openpit,Operating,J02998,Myalup - Ludlow Rd / Catalano,115.697800999999998,-32.965525000000000,378302,6351782,50,Lst Lsd,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,2032,PINJARRA,SI50-02,PINJARRA,"HARVEY, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Mandurah Terrace,20191210
S0021626,Skink Rd / Boral,Skink Rd - Neerabup / Boral,Mine,Openpit,Under Development,J03000,Neerabup Sand / Boral,115.827202000000000,-31.679960000000001,388836,6494439,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2034,PERTH,SH50-14,PERTH,"WANNEROO, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20191210
S0021678,Weaner Creek,Weaner Creek - Molly Spring,Mine,Openpit,Operating,J03011,Kununurra / Boral,128.484542000000005,-15.825222000000000,444802,8250330,52,Gvl Sd Agg Aggm Bas,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,4566,ERSKINE,SD52-14,CAMBRIDGE GULF,"WYNDHAM-EAST KIMBERLEY, SHIRE OF","KIMBERLEY, Development Region",80,KIMBERLEY M.F.,Kalkarindji Large Igneous Province,20191210
S0021783,Morrissey Road Lot 5 Pit A,Morrissey Road Lot 5 Pit A,Mine,Openpit,Under Development,J01809,Bullsbrook - Morrissey Rd / Henriksen,116.032600000000002,-31.636479999999999,408263,6499450,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2134,WOOROLOO,SH50-14,PERTH,"SWAN, CITY OF",METRO,70,SOUTH WEST M.F.,Beermullah Trough,20191210
S0021839,Scrubby Hill/Vandeleur,Scrubby Hill / Vandeleur,Mine,Openpit,Operating,J03046,Scrubby Hill Limestone / Wormall,113.732946999999996,-24.773593000000002,776353,7257358,49,Lst Agg Sd,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,1648,CARNARVON,SG49-04,QUOBBA,"CARNARVON, SHIRE OF","GASCOYNE, Development Region",9,GASCOYNE M.F.,Gascoyne Platform,20191210
S0021896,Brand Hwy Lot 2453/Wilson,Brand Hwy Lot 2453 Cape Burney / Wilson,Mine,Openpit,Operating,J03071,Southgate Limesand,114.631298999999999,-28.830521999999998,268878,6808486,50,Lsd,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,1840,GERALDTON,SH50-01,GERALDTON,"GREATER GERALDTON, CITY OF","MID-WEST, Development Region",70,SOUTH WEST M.F.,Abrolhos Sub-basin,20191210
S0021923,Kununurra Shingle / JAB,Kununurra Shingle / JAB,Mine,Openpit,Operating,J04370,Kununurra Shingle / JAB,128.695361999999989,-15.761965999999999,467368,8257371,52,Gvl Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,4666,KUNUNURRA,SD52-14,CAMBRIDGE GULF,"WYNDHAM-EAST KIMBERLEY, SHIRE OF","KIMBERLEY, Development Region",80,KIMBERLEY M.F.,Kalkarindji Large Igneous Province,20191210
S0021953,Old Coast Rd Lot 122/Hovey,Old Coast Rd Lot 122 Parkfield / Hovey,Mine,Openpit,Operating,J03096,Binningup Sand / Hovey,115.722718000000000,-33.158876999999997,380892,6330374,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2031,BUNBURY,SI50-06,COLLIE,"HARVEY, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Bunbury Trough,20191210
S0022015,Phils Creek,Phils Creek - Three Sisters CID,Mine,Openpit,Operating,J03122,Phils Creek / PMI,119.187809000000001,-22.737048000000001,724680,7483930,50,Fe,Iron,IRON ORE,,N,,,,,Public,2752,WEELI WOLLI,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20191210
